sampno,perno,wtperfin
30007959,4,60.4761
30007995,1,96.7391
30007995,2,96.7391
30007997,1,118.8498
30008009,1,126.6663
30008009,2,126.6663
30008058,1,250.2885
30008153,1,991.2789
30008153,2,991.2789
30008153,3,991.2789
30008166,1,98.2495
30008166,2,98.2495
30008166,3,98.2495
30008166,4,98.2495
30008166,5,98.2495
30008166,6,98.2495
30008173,1,62.9664
30008173,2,62.9664
30008173,3,62.9664
30008173,4,62.9664
30008190,1,60.4786
30008190,2,60.4786
30008281,1,759.3457
30008318,1,101.4739
30008318,2,101.4739
30008318,3,101.4739
30008346,1,587.2717
30008365,1,73.637
30008365,2,73.637
30008429,1,912.8215
30008618,1,99.3635
30008618,2,99.3635
30008673,1,216.2932
30008673,2,216.2932
30008673,3,216.2932
30008673,4,216.2932
30008684,1,167.1531
30008684,2,167.1531
30008684,3,167.1531
30008769,1,912.9887
30008769,2,912.9887
30008847,1,101.354
30008969,1,1313.3799
30008971,1,97.7175
30008971,2,97.7175
30008971,3,97.7175
30008971,4,97.7175
30009012,1,366.9016
30009021,1,911.9078
30009087,1,68.7931
30009087,2,68.7931
30009138,1,901.0588
30009138,2,901.0588
30009179,1,1007.9926
30009179,2,1007.9926
30009224,1,60.4708
30009224,2,60.4708
30009233,1,71.3891
30009233,2,71.3891
30009239,1,639.9998
30009239,2,639.9998
30009239,3,639.9998
30009239,4,639.9998
30009251,1,118.7596
30009259,1,63.3008
30009259,2,63.3008
30009259,3,63.3008
30009259,4,63.3008
30009259,5,63.3008
30009282,1,849.9914
30009311,1,639.9999
30009311,2,639.9999
30009360,1,336.1529
30009382,1,94.1184
30009382,2,94.1184
30009382,3,94.1184
30009396,1,100.4982
30009396,2,100.4982
30009396,3,100.4982
30009467,1,113.3725
30009467,2,113.3725
30009593,1,212.6434
30009631,1,660
30009631,2,660
30009663,1,306.9382
30009663,2,306.9382
30009712,1,520.0296
30009712,2,520.0296
30009712,3,520.0296
30009723,1,101.0466
30009851,1,101.4402
30009874,1,912.995
30009874,2,912.995
30009874,3,912.995
30009888,1,550.8721
30009905,1,510.0918
30009905,2,510.0918
30009945,1,70.6836
30009945,2,70.6836
30009962,1,630.3882
30009996,1,62.1969
30009996,2,62.1969
30010103,1,85.6047
30010103,2,85.6047
30010174,1,126.5113
30010231,1,120.9864
30010231,2,120.9864
30010281,1,70.4019
30010281,2,70.4019
30010317,1,103.7105
30010317,2,103.7105
30010334,1,61.4115
30010334,2,61.4115
30010354,1,548.8473
30010381,1,1007.9979
30010414,1,100.8208
30010431,1,62.6328
30010431,2,62.6328
30010446,1,62.4865
30010446,2,62.4865
30010446,3,62.4865
30010468,1,435.5955
30010549,1,112.3329
30010699,1,910.5054
30010699,2,910.5054
30010703,1,503.5775
30010703,2,503.5775
30010717,1,898.4941
30010717,2,898.4941
30010719,1,550
30010739,1,221.1181
30010763,1,100.8901
30010763,2,100.8901
30010763,3,100.8901
30010763,4,100.8901
30010796,1,656.5557
30010796,2,656.5557
30010862,1,283.1255
30010862,2,283.1255
30010924,1,111.271
30010933,1,94.9975
30010963,1,70.4019
30010963,2,70.4019
30010974,1,100.4721
30010974,2,100.4721
30010997,1,549.7129
30010997,2,549.7129
30011071,1,101.1289
30011078,1,101.8673
30011078,2,101.8673
30011078,3,101.8673
30011097,1,183.6914
30011097,2,183.6914
30011122,1,622.7177
30011122,2,622.7177
30011170,1,624.9633
30011170,2,624.9633
30011270,1,183.0942
30011270,2,183.0942
30011321,1,111.2314
30011370,1,200.9503
30011455,1,531.2431
30011490,1,119.9992
30011490,2,119.9992
30011518,1,622.9571
30011518,2,622.9571
30011584,1,510.0918
30011584,2,510.0918
30011628,1,183.1356
30011628,2,183.1356
30011628,3,183.1356
30011628,4,183.1356
30011706,1,112.4772
30011706,2,112.4772
30011706,3,112.4772
30011706,4,112.4772
30011753,1,158.978
30011759,1,911.5569
30011805,1,60.9845
30011825,1,97.1426
30011825,2,97.1426
30011829,1,61.5732
30011844,1,99.3322
30011911,1,111.3917
30011911,2,111.3917
30011962,1,61.678
30011985,1,64.4626
30011985,2,64.4626
30011987,1,74.1095
30011987,2,74.1095
30012011,1,158.1246
30012011,2,158.1246
30012018,1,183.7678
30012018,2,183.7678
30012018,3,183.7678
30012018,4,183.7678
30012023,1,660
30012023,2,660
30012088,1,659.9999
30012116,1,95.3538
30012116,2,95.3538
30012243,1,550
30012302,1,549.9917
30012316,1,306.9382
30012316,2,306.9382
30012412,1,657.5138
50000066,1,182.5796
50000066,2,182.5796
50000088,1,116.6166
50000162,1,216.9083
50000162,2,216.9083
50000162,3,216.9083
50000162,4,216.9083
50000162,5,216.9083
50000168,1,118.0225
50000168,2,118.0225
50000190,1,142.8307
50000190,2,142.8307
50000206,1,441.1509
50000206,2,441.1509
50000206,3,441.1509
50000310,1,126.7264
50000310,2,126.7264
50000374,1,123.3147
50000374,2,123.3147
50000444,1,136.2902
50000461,1,227.9401
50000461,2,227.9401
50000461,3,227.9401
50000461,4,227.9401
50000489,1,148.8098
50000489,2,148.8098
50000489,3,148.8098
50000489,4,148.8098
50000503,1,337.3683
50000503,2,337.3683
50000523,1,250.713
50000523,2,250.713
50000539,1,136.2902
50000586,1,250.5764
50000586,2,250.5764
50000586,3,250.5764
50000586,4,250.5764
50000648,1,168.8535
50000692,1,260.0458
50000725,1,126.7264
50000725,2,126.7264
50000773,1,234.8147
50000773,2,234.8147
50000822,1,227.9401
50000822,2,227.9401
50000822,3,227.9401
50000822,4,227.9401
50000822,5,227.9401
50000850,1,138.073
50000895,1,91.2148
50000895,2,91.2148
50000971,1,54.0077
50000971,2,54.0077
50001067,1,294.9309
50001067,2,294.9309
50001067,3,294.9309
50001067,4,294.9309
50001085,1,146.3966
50001085,2,146.3966
50001149,1,188.537
50001149,2,188.537
50001153,1,191.0992
50001153,2,191.0992
50001163,1,58.1304
50001163,2,58.1304
50001185,1,132.3625
50001185,2,132.3625
50001232,1,250.5764
50001232,2,250.5764
50001232,3,250.5764
50001232,4,250.5764
50001336,1,206.0324
50001383,1,148.5888
50001406,1,184.7165
50001420,1,191.0992
50001420,2,191.0992
50001424,1,202.5285
50001424,2,202.5285
50001424,3,202.5285
50001491,1,203.7861
50001491,2,203.7861
50001491,3,203.7861
50001522,1,288.3796
50001522,2,288.3796
50001522,3,288.3796
50001522,4,288.3796
50001533,1,188.6843
50001533,2,188.6843
50001533,3,188.6843
50001577,1,250.0932
50001577,2,250.0932
50001630,1,158.3633
50001666,1,196.8675
50001677,1,134.6201
50001690,1,146.3966
50001690,2,146.3966
50001796,1,250.3869
50001796,2,250.3869
50001823,1,207.3522
50001823,2,207.3522
50001823,3,207.3522
50001888,1,180.1139
50001973,1,167.6635
50002122,1,158.3633
50002126,1,100.3622
50002136,1,184.7165
50002190,1,480.7158
50002267,1,123.3147
50002267,2,123.3147
50002293,1,93.5686
50002293,2,93.5686
50002309,1,354.7632
50002309,2,354.7632
50002309,3,354.7632
50002309,4,354.7632
50002349,1,162.9662
50002349,2,162.9662
50002418,1,109.6345
50002418,2,109.6345
50002444,1,247.198
50002612,1,355.1599
50002673,1,202.1913
50002673,2,202.1913
50002698,1,159.7283
50002698,2,159.7283
50002698,3,159.7283
50002698,4,159.7283
50002728,1,123.4652
50002836,1,117.7463
50002854,1,261.9379
50002981,1,120.0061
50002981,2,120.0061
50003055,1,147.142
50003089,1,78.94
50003089,2,78.94
50003134,1,159.2645
50003134,2,159.2645
50003175,1,128.624
50003222,1,74.5436
50003222,2,74.5436
50003237,1,118.0638
50003237,2,118.0638
50003312,1,377.2205
50003312,2,377.2205
50003312,3,377.2205
50003312,4,377.2205
50003312,5,377.2205
50003334,1,57.4181
50003334,2,57.4181
50003410,1,261.2161
50003410,2,261.2161
50003591,1,156.0269
50003591,2,156.0269
50003680,1,211.0686
50003680,2,211.0686
50003680,3,211.0686
50003680,4,211.0686
50003687,1,200.8288
50003687,2,200.8288
50003724,1,97.884
50003724,2,97.884
50003728,1,183.5005
50003728,2,183.5005
50003728,3,183.5005
50003728,4,183.5005
50003728,5,183.5005
50003817,1,200.8288
50003817,2,200.8288
50003819,1,226.5553
50003819,2,226.5553
50003819,3,226.5553
50003819,4,226.5553
50003830,1,81.1677
50003830,2,81.1677
50003854,1,196.8675
50003857,1,126.7264
50003857,2,126.7264
50003863,1,211.0686
50003863,2,211.0686
50003863,3,211.0686
50003863,4,211.0686
50003867,1,199.5688
50003884,1,287.5393
50003884,2,287.5393
50003884,3,287.5393
50003884,4,287.5393
50003884,5,287.5393
50003887,1,280.2246
50003887,2,280.2246
50003887,3,280.2246
50003937,1,160.5311
50003937,2,160.5311
50003944,1,373.4523
50003944,2,373.4523
50003964,1,106.4834
50003964,2,106.4834
50003998,1,240.2724
50003998,2,240.2724
50003999,1,274.3742
50004120,1,294.9309
50004120,2,294.9309
50004120,3,294.9309
50004120,4,294.9309
50004194,1,147.8876
50004194,2,147.8876
50004208,1,107.8045
50004208,2,107.8045
50004266,1,63.2036
50004266,2,63.2036
50004354,1,278.7632
50004354,2,278.7632
50004354,3,278.7632
50004354,4,278.7632
50004402,1,132.3625
50004402,2,132.3625
50004499,1,126.7264
50004499,2,126.7264
50004532,1,146.3966
50004532,2,146.3966
50004567,1,205.1548
50004713,1,87.1725
50004713,2,87.1725
50004844,1,105.1786
50004844,2,105.1786
50004873,1,134.4557
50004873,2,134.4557
50004873,3,134.4557
50004905,1,108.5554
50004909,1,208.8326
50004919,1,246.4057
50004919,2,246.4057
50004919,3,246.4057
50004919,4,246.4057
50004919,5,246.4057
50004950,1,180.1139
50004985,1,302.0627
50004985,2,302.0627
50004985,3,302.0627
50004990,1,86.9102
50004990,2,86.9102
50004997,1,253.8381
50005033,1,225.2067
50005041,1,288.3796
50005041,2,288.3796
50005041,3,288.3796
50005041,4,288.3796
50005061,1,145.4398
50005061,2,145.4398
50005102,1,119.8317
50005142,1,158.3633
50005144,1,142.8307
50005144,2,142.8307
50005153,1,146.7872
50005153,2,146.7872
50005204,1,152.9076
50005204,2,152.9076
50005225,1,134.6201
50005248,1,152.9076
50005248,2,152.9076
50005306,1,118.0225
50005306,2,118.0225
50005314,1,118.0638
50005314,2,118.0638
50005329,1,184.521
50005329,2,184.521
50005329,3,184.521
50005329,4,184.521
50005329,5,184.521
50005396,1,207.3522
50005396,2,207.3522
50005396,3,207.3522
50005497,1,180.1139
50005568,1,157.6867
50005568,2,157.6867
50005568,3,157.6867
50005568,4,157.6867
50005568,5,157.6867
50005568,6,157.6867
50005602,1,152.7778
50005602,2,152.7778
50005637,1,126.7264
50005637,2,126.7264
50005672,1,100.3622
50005719,1,77.5952
50005719,2,77.5952
50005726,1,64.9522
50005726,2,64.9522
50005756,1,309.5386
50005756,2,309.5386
50005756,3,309.5386
50005756,4,309.5386
50005781,1,175.2743
50005781,2,175.2743
50005781,3,175.2743
50005886,1,366.0902
50005911,1,163.9709
50005911,2,163.9709
50005932,1,285.1644
50005945,1,132.3625
50005945,2,132.3625
50006018,1,194.5901
50006018,2,194.5901
50006048,1,269.616
50006048,2,269.616
50006111,1,99.1324
50006118,1,179.8021
50006118,2,179.8021
